	Query	Answer	MouseClass	MouseConfidence
223	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Расчет матвыгоды зависит от того, в какой валюте выдан заем или кредит. По рублевым займам матвыгоду определяйте с учетом 2/3 ставки рефинансирования ЦБ, а по займам в иностранной валюте – с учетом ставки 9 процентов годовых. Имеет значение и дата выдачи займа для определения даты дохода.                                                                                                                                                                                                                   	0	0.9948021
224	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Определить нужный КБК на 2023 год можно в сервисе «Узнайте верный КБК» или по Справочнику                                                                                                                                                                                                                                                                                                                                                                                                                           	0	0.99465925
225	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Платить налог на имущество должны российские и иностранные организации, у которых есть объекты налогообложения (п. 1 ст. 373 НК). Смотрите, как рассчитать налог. Налоговые ставки устанавливают региональные власти. В справочнике – ставки и льготы по всем регионам России.                                                                                                                                                                                                                                      	0	0.99495137
226	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Предприниматели не сдают отчетность по налогу на ПСН, поэтому должны сами сообщать в ИФНС об уменьшении налога. Чтобы уменьшить патент на страховые взносы, их нужно перечислить и подать уведомление в налоговую инспекцию. Какие взносы можно учесть — в рекомендации.                                                                                                                                                                                                                                            	0	0.99492586
227	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	За счет ЕНП нужно уплачивать:налоги, в том числе НДФЛ за работников;авансовые платежи по налогам;страховые взносы, кроме взносов на травматизм;сборы;пени, штрафы и проценты по налогам, сборам и страховым взносам.                                                                                                                                                                                                                                                                                                	0	0.9946955
228	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Срок сдачи декларации по налогу на имущество за 2022 год: 27 марта 2023 года. Срок сдачи изменился в связи с введением ЕНП.Куда сдавать: в ИФНС.Форма: форма декларации изменилась. Скачать новый бланк >>. Образец заполнения можно скачать ниже.Кто сдает: организации, у которых есть имущество, облагаемое налогом.                                                                                                                                                                                             	0	0.9949833
229	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В рекомендации – генератор учетной политики и формулировки для бухучета и налогов, которые помогут составить приказ об изменении учетной политики на 2023 год. Готовые образцы приказов и обновленный рабочий план счетов упростят переход на новые правила.                                                                                                                                                                                                                                                        	0	0.99496186
230	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Общие правила заполнения реквизитов платежки — в рекомендации. При заполнении платежки по ЕСХН вместо уведомления о начисленных налогах и взносах нужно учесть следующие особенности.                                                                                                                                                                                                                                                                                                                               	0	0.994718
231	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Чтобы получить товар на складе продавца, сотруднику необходима доверенность. Можно использовать унифицированную форму М-2 (М-2а) либо разработать свою. Важно, чтобы произвольная форма содержала обязательные реквизиты. Выбранную форму утверждает руководитель (ч. 4 ст. 9 Закона от 06.12.2011 № 402-ФЗ, п. 4 ПБУ 1/2008).Также сотруднику потребуется доверенность, чтобы оформить ЭЦП или забрать корреспонденцию на почте. Скачайте актуальные образцы.                                                      	0	0.99490017
232	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Уведомление для ЕНП по налогу на прибыль надо подать, только если вы перечисляете налог как налоговый агент или как налогоплательщик платите налог на прибыль с доходов по государственным и муниципальным ценным бумагам. В остальных случаях, когда организация платит налог на прибыль в качестве налогоплательщика, подавать уведомление об исчисленных суммах налога не надо.                                                                                                                                  	0	0.9854511
233	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	На забалансовых счетах учитывают активы, стоимость которых списывают при приобретении. Так, организация обязана контролировать сохранность малоценных основных средств, срок полезного использования которых более 12 месяцев или более длительного оперцикла, но стоимость не превышает установленный в бухучете для учета основных средств лимит. Такие активы нельзя учитывать и в составе запасов (п. 5 ФСБУ 6/2020, п. 3 ФСБУ 5/2019).                                                                         	0	0.9947015
234	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Наличные деньги сверх лимита нужно сдать из кассы в банк для зачисления на расчетный счет. Кто может внести деньги на расчетный счет и какими способами это можно сделать, читайте в рекомендации.                                                                                                                                                                                                                                                                                                                  	0	0.99480754
235	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Предприниматели не сдают отчетность по налогу на ПСН, поэтому должны сами сообщать в ИФНС об уменьшении налога. Чтобы уменьшить патент на страховые взносы, их нужно перечислить и подать уведомление в налоговую инспекцию. Какие взносы можно учесть — в рекомендации.                                                                                                                                                                                                                                            	0	0.99492586
236	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В рекомендации – полный путеводитель по учету основных средств по ФСБУ 6/2020 с образцами документов. Вы узнаете, как определить стоимость и срок полезного использования, учесть улучшения и списание, а также можете воспользоваться расчетчиком первоначальной стоимости основного средства.                                                                                                                                                                                                                     	0	0.97178954
237	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Сдайте по форме, рекомендованной ФНС.Типовые формы промежуточного и окончательного ликвидационных балансов не утверждены. Используйте рекомендованные ФНС машиночитаемые формы:форма по КНД 0710095 – для тех, кто отчитывается по общей форме при ликвидации (ликвидационная, последняя отчетность);форма по КНД 0710094 – для тех, кто вправе отчитываться по упрощенной форме при ликвидации (ликвидационная, последняя отчетность).Данные формы направлены письмом ФНС от 25.11.2019 № ВД-4-1/24013@.           	0	0.9946355
238	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Срок сдачи бухгалтерской отчетности за 2022 год: 31 марта 2023 года.Куда сдавать: в ИФНС.Кто сдает: все организации.                                                                                                                                                                                                                                                                                                                                                                                                	0	0.9934683
239	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Работодатель должен ежемесячно сообщать сотрудникам, из чего складывается их оплата труда, сколько они получат на руки и сколько с них удержали. Все эти сведения бухгалтеры доносят до сотрудника в формате расчетного листка (ч. 2 ст. 136 ТК). В рекомендации – по какой форме, как часто и каким способом выдавать расчетные листки, а также какой штраф предусмотрен за нарушение правил их выдачи.                                                                                                            	0	0.9931545
240	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Для оплаты патента ИП в 2023 году можно оформить платежку по КБК ЕНП. Как заполнять платежку по ЕНП – в таблице. Для оплаты патента ИП в 2023 году также можно использовать отдельную платежку, которая заменяет уведомление. В таком случае указывают КБК налога на ПСН с иными реквизитами для конкретизации платежа. Уведомление по патенту сдавать не надо, потому что суммы по патенту имеются в распоряжении налоговой инспекции, но ФНС в таком случае не запрещает подавать платежку вместо уведомления.    	0	0.9948555
241	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	С 2023 года налоги и взносы перечисляют единым налоговым платежом, который инспекция сама засчитает в счет текущих платежей, недоимок, пеней и штрафов. В рекомендации — как перейти на ЕНП, в какие сроки его платить, как подать уведомление о начислениях, как заполнить платежку и отражать платеж в учете. Образцы документов и видеоинструкции помогут быстро разобраться в новых правилах работы.                                                                                                            	0	0.99493104
242	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В чек-листе дела, которые важно сделать в этом месяце организациям, ИП и физлицам. Мы расположили все дела, начиная с обязательных для всех до выгодных. Для каждого есть инструкции, справочники и образцы.                                                                                                                                                                                                                                                                                                        	0	0.9947513
243	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	С 2023 года пособия смогут получить подрядчики, которые отнесены к застрахованным лицам. Выплатят больничные физлицам по договорам ГПХ при условии, что сумма уплаченных взносов за предшествующий календарный год – не менее стоимости страхового года. Исключение — самозанятые, сотрудники по ГПД, которые не работали в 2022 году дополнительно по трудовому договору (подп. 1 п. 1 ст. 2, ч. 3 ст. 4.5 Закона от 29.12.2006 № 255-ФЗ).                                                                         	0	0.99482673
244	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В чек-листе дела, которые важно сделать в этом месяце организациям, ИП и физлицам. Мы расположили все дела, начиная с обязательных для всех до выгодных. Для каждого есть инструкции, справочники и образцы.                                                                                                                                                                                                                                                                                                        	0	0.9947513
245	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	С 2023 года налоги и взносы перечисляют единым налоговым платежом, который инспекция сама засчитает в счет текущих платежей, недоимок, пеней и штрафов. В рекомендации — как перейти на ЕНП, в какие сроки его платить, как подать уведомление о начислениях, как заполнить платежку и отражать платеж в учете. Образцы документов и видеоинструкции помогут быстро разобраться в новых правилах работы.                                                                                                            	0	0.99493104
246	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Заявление о зачете положительного сальдо ЕНС утверждено приказом ФНС от 30.11.2022 № ЕД-7-8/1133@.                                                                                                                                                                                                                                                                                                                                                                                                                  	1	0.8527114
247	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Уведомление для ЕНП надо подать только по страховым взносам, которые вы перечисляете в налоговую инспекцию. При уплате страховых взносов на травматизм в Социальный фонд подавать уведомление об исчисленных суммах налога не надо.                                                                                                                                                                                                                                                                                 	0	0.9912861
248	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Смотрите образцы приказов руководителя об утверждении учетной политики некоммерческой организации для бухгалтерского и налогового учета. Воспользуйтесь сервисом «Генератор учетной политики», чтобы сформировать пункты документа, которые не содержат специфику для некоммерческих организаций.                                                                                                                                                                                                                   	0	0.99485415
249	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Правила составления баланса не изменились, за исключением отражения основных средств, запасов и аренды по новым ФСБУ. Подробнее об этом читайте в другой рекомендации. О том, как составить и заполнить баланс, а также как его уточнить– в этой рекомендации. Числовые примеры, которые приведены в этом материале актуальны для отчетности за 2021 год, а также за последующие отчетные периоды                                                                                                                   	0	0.9949138
250	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Уведомление для ЕНП по НДФЛ заполняйте и сдавайте ежемесячно с января по декабрь. За декабрь подайте уведомление по НДФЛ дважды – за период с 23 ноября по 22 декабря и с 23 по 31 декабря. В уведомлении укажите КБК НДФЛ и код отчетного периода. Если начислили НДФЛ по разным ставкам и КБК, заполните по каждому платежу свой блок строк 1–6 раздела «Данные». Если сумма начисленного НДФЛ равна нулю, уведомление не подавайте. Ниже – порядок заполнения и образец уведомления для ЕНП по НДФЛ.             	0	0.9828173
251	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	По общему правилу НДС надо перечислять на единый налоговый счет (ЕНС) в составе единого налогового платежа (ЕНП). Срок уплаты – 28-е число. Исключение: импортеры, которые уплачивают налог в специальные сроки. Если 28-е число попадает на нерабочий день, то налог перечисляют в бюджет не позднее первого рабочего дня, следующего за нерабочим днем (п. 7 ст. 6.1, п. 1 ст. 174 НК). Порядок уплаты зависит от того, кто уплачивает налог: плательщик НДС, неплательщик НДС, налоговый агент или правопреемник.	0	0.9949452
252	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Порядок учета НДС при покупке бензина (ГСМ) зависит от того, как оформлены расчетные документы от АЗС. Например, если сотрудник действует на основании доверенности от имени организации, то АЗС, помимо кассового чека, обязана выдать ему счет-фактуру (п. 3 ст. 168 НК). В зависимости от соблюдения иных условий для вычета сумму входного НДС примите к вычету или учтите в составе налоговых расходов.                                                                                                        	0	0.9948538
253	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Срок сдачи 6-НДФЛ за I квартал: 25 апреля 2023 года. Куда сдавать: в ИФНС.Форма: 6-НДФЛ за I квартал 2023 года сдают по новой форме в редакции приказа ФНС от 29.09.2022 № ЕД-7-11/881@.Скачать бланк >>.Образцы заполнения для разных случаев можно скачать ниже.Кто сдает: налоговые агенты по НДФЛ.                                                                                                                                                                                                              	0	0.99495924
254	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Аванс по зарплате безопаснее платить исходя из фактически отработанного времени. С 2023 года при выплате аванса нужно удерживать НДФЛ. Если выплачиваете аванс в размере 40 процентов от зарплаты, нужно увеличить его размер. Если оставите прежний размер, сумма аванса на руки будет меньше в связи с удержанием НДФЛ и возможны споры как с работниками, так и с трудовой инспекцией.                                                                                                                           	0	0.99486685
255	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Единый налоговый счет ИФНС открывает сама. На нем учитывают поступления денежных средств от налогоплательщика и совокупную обязанность по налогам и взносам на основе декларация и расчетов. В рекомендации – как пополнить ЕНС, как инспекция формирует сальдо ЕНС, схема работы с единым налоговым счетом и правила возврата переплаты.                                                                                                                                                                           	0	0.99477935
256	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Платить налог на имущество должны российские и иностранные организации, у которых есть объекты налогообложения (п. 1 ст. 373 НК). Смотрите, как рассчитать налог. Налоговые ставки устанавливают региональные власти. В справочнике – ставки и льготы по всем регионам России.                                                                                                                                                                                                                                      	0	0.99495137
257	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Срок сдачи бухгалтерской отчетности за 2022 год: 31 марта 2023 года.Куда сдавать: в ИФНС.Кто сдает: все организации.                                                                                                                                                                                                                                                                                                                                                                                                	0	0.9934683
258	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В справочнике – образцы с правилами заполнения и сроки сдачи отчетности за I квартал 2023 года в ИФНС и Социальный фонд. Есть список изменений в формах и правилах расчета налогов и взносов, календарь со сроками сдачи, видеоинструкции и сервисы для новых зарплатных отчетов. Образцы и правила заполнения одобрили специалисты Минфина, ФНС и Социального фонда.                                                                                                                                               	0	0.9949281
259	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Ставки налога на упрощенке зависят от объекта налогообложения, региона и категории налогоплательщика, величины дохода и численности работников. В 2023 году лимиты по доходам на УСН индексируют на коэффициент-дефлятор на 2023 год – 1,257. В рекомендации – когда и какие ставки применять и как отражать их в отчетности.                                                                                                                                                                                       	0	0.9950224
260	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Уведомление для ЕНП по НДФЛ заполняйте и сдавайте ежемесячно с января по декабрь. За декабрь подайте уведомление по НДФЛ дважды – за период с 23 ноября по 22 декабря и с 23 по 31 декабря. В уведомлении укажите КБК НДФЛ и код отчетного периода. Если начислили НДФЛ по разным ставкам и КБК, заполните по каждому платежу свой блок строк 1–6 раздела «Данные». Если сумма начисленного НДФЛ равна нулю, уведомление не подавайте. Ниже – порядок заполнения и образец уведомления для ЕНП по НДФЛ.             	0	0.9828173
261	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	С 1 января 2023 года НДФЛ с дивидендов перечисляют в бюджет в составе ЕНП в общие сроки, установленные для уплаты НДФЛ. Правила одинаковы для ООО и АО. Такой порядок следует из положений пунктов 4, 6 статьи 226, пункта 4 статьи 214 и пункта 9 статьи 226.1 НК. В какой срок налоговому агенту перечислить НДФЛ в бюджет, читайте в рекомендации.                                                                                                                                                               	0	0.9949397
262	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Уведомление для ЕНП надо подать только по страховым взносам, которые вы перечисляете в налоговую инспекцию. При уплате страховых взносов на травматизм в Социальный фонд подавать уведомление об исчисленных суммах налога не надо.                                                                                                                                                                                                                                                                                 	0	0.9912861
263	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Налог по УСН и минимальный налог за 2022 год организации и ИП должны платить в 2023 году в составе ЕНП. Специальных правил для уплаты налога по УСН за 2022 год нет. Для уплаты заполните платежное поручение на перечисление ЕНП с КБК ЕНП – 182 0 10 61201 01 0000 510. Уведомление об исчисленных суммах налога по УСН за 2022 год или платежку вместо уведомления подавать не надо, так как сроки сдачи декларации раньше срока уплаты налога (п. 9 ст. 58 НК).                                                 	0	0.99496293
264	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Общие правила заполнения реквизитов платежки — в рекомендации. При заполнении платежки по НДФЛ вместо уведомления о начисленных налогах и взносах нужно учесть следующие особенности.                                                                                                                                                                                                                                                                                                                               	0	0.9947141
265	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В 2023 году нужно применять новые КБК по взносам. Минфин изменил перечень кодов приказом от 22.11.2022 № 177н. Взносы по НК. В уведомлении за периоды начиная с 1 января 2023 года и РСВ за I квартал 2023 года укажите КБК 182 1 02 01000 01 1000 160. Он предназначен для взносов по единому тарифу, в который входят пенсионные, медицинские, социальные на случай ВНиМ взносы. Перечисляйте взносы в 2023 году в составе единого платежа на КБК 182 01 06 12 01 01 0000 510.                                    	0	0.99496293
266	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В справочнике – образцы и правила заполнения отчетности за 2022 год, которую надо сдавать в налоговую инспекцию и фонды. Есть список изменений в формах и правилах заполнения, плакаты с контрольными точками, календарь со сроками сдачи основных отчетов и сервисы, чтобы проверить отчетность и подготовить образцы пояснений. Все образцы и правила заполнения одобрили специалисты Минфина, ФНС и фондов.                                                                                                      	0	0.99496126
267	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Наличные деньги сверх лимита нужно сдать из кассы в банк для зачисления на расчетный счет. Кто может внести деньги на расчетный счет и какими способами это можно сделать, читайте в рекомендации.                                                                                                                                                                                                                                                                                                                  	0	0.99480754
268	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Работу в командировке и время в пути в выходные или праздники оплачивайте как работу в выходные и праздники. Если сотруднику предоставлен отгул, работу в командировке в выходной день оплатите в одинарном размере. День отдыха не оплачивайте. Если отгул не предоставлен, порядок оплаты зависит от того, на окладе сотрудник, сдельщик или ему установлена часовая ставка.                                                                                                                                      	0	0.9948378
269	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В справочнике – образцы с правилами заполнения и сроки сдачи отчетности за I квартал 2023 года в ИФНС и Социальный фонд. Есть список изменений в формах и правилах расчета налогов и взносов, календарь со сроками сдачи, видеоинструкции и сервисы для новых зарплатных отчетов. Образцы и правила заполнения одобрили специалисты Минфина, ФНС и Социального фонда.                                                                                                                                               	0	0.9949281
270	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В состав упрощенной бухгалтерской отчетности входят:– упрощенный бухгалтерский баланс;– упрощенный отчет о финансовых результатах;– упрощенный отчет о целевом использовании средств (для НКО).По этим формам могут отчитываться организации, которые имеют право вести бухучет по упрощенной форме. С отчетности за 2021 год организаций, которые вправе сдавать упрощенную бухотчетность, станет больше. Так как с 1 января 2021 года увеличилось число организаций, которые освобождены от обязательного аудита. 	0	0.9947119
